"NGÀY","Tháng","ID","FANPAGE","Chiến dịch","TỔNG","SPAM","TIỀM NĂNG","CHẤT LƯỢNG","ĐẶT HẸN","ĐẾN PK","CHỐT","BILL","Ngân sách mục tiêu","Ngân sách thực tế","KPI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02/05/2025","05.2025","42","3 PAGE TGIL","VTV1 - Bác Sĩ Dũng ","3","3","","","","","","","  1.000.000 ","  900.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01/03/2025","03.2025","44","3 PAGE TGIL","VTV - Liên hoàn cước - Trường Giang","6","2","2","2","0","0","0","","  1.000.000 ","  900.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"03/03/2025","03.2025","44","3 PAGE TGIL","VTV - Liên hoàn cước - Trường Giang","8","5","2","1","0","0","0","","  1.000.000 ","  900.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"05/03/2025","03.2025","44","3 PAGE TGIL","VTV - Liên hoàn cước - Trường Giang","4","1","2","1","0","0","0","","  1.000.000 ","  900.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"05/03/2025","03.2025","42","3 PAGE TGIL","VTV1 - Bác Sĩ Dũng ","13","11","2","0","0","0","0","","  1.000.000 ","  900.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"06/03/2025","03.2025","45","3 PAGE TGIL","Trồng răng Ưu đãi 5%","2","0","2","0","0","0","0","","  1.000.000 ","  900.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"08/03/2025","03.2025","42","3 PAGE TGIL","VTV1 - Bác Sĩ Dũng ","19","17","2","0","0","0","0","","  1.000.000 ","  900.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"08/03/2025","03.2025","44","3 PAGE TGIL","VTV - Liên hoàn cước - Trường Giang","6","4","2","0","0","0","0","","  1.000.000 ","  900.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"09/03/2025","03.2025","44","3 PAGE TGIL","VTV - Liên hoàn cước - Trường Giang","11","2","2","7","0","0","0","","  1.000.000 ","  900.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12/03/2025","03.2025","45","3 PAGE TGIL","Trồng răng Ưu đãi 5%","3","0","2","1","1","1","1","  69.600.000 ","  1.000.000 ","  900.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12/03/2025","03.2025","43","3 PAGE TGIL","Bảng giá Implant","5","3","2","0","0","0","0","","  1.000.000 ","  900.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16/03/2025","03.2025","43","3 PAGE TGIL","Bảng giá Implant","4","1","2","1","0","0","0","","  1.000.000 ","  900.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17/03/2025","03.2025","43","3 PAGE TGIL","Bảng giá Implant","8","6","2","0","0","0","0","","  1.000.000 ","  900.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20/03/2025","03.2025","43","3 PAGE TGIL","Bảng giá Implant","7","4","2","1","0","0","0","","  1.000.000 ","  900.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22/03/2025","03.2025","44","3 PAGE TGIL","VTV - Liên hoàn cước - Trường Giang","4","1","2","1","0","0","0","","  1.000.000 ","  900.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23/03/2025","03.2025","44","3 PAGE TGIL","VTV - Liên hoàn cước - Trường Giang","8","4","2","2","0","0","0","","  1.000.000 ","  900.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27/03/2025","03.2025","43","3 PAGE TGIL","Bảng giá Implant","6","3","2","1","0","0","0","","  1.000.000 ","  900.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27/03/2025","03.2025","42","3 PAGE TGIL","VTV1 - Bác Sĩ Dũng ","9","7","2","0","0","0","0","","  1.000.000 ","  900.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28/03/2025","03.2025","45","3 PAGE TGIL","Trồng răng Ưu đãi 5%","4","0","2","2","1","0","0","","  1.000.000 ","  900.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29/03/2025","03.2025","44","3 PAGE TGIL","VTV - Liên hoàn cước - Trường Giang","9","2","2","5","1","0","0","","  1.000.000 ","  900.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01/05/2025","05.2025","42","3 PAGE TGIL","VTV1 - Bác Sĩ Dũng ","7","1","6","","","","","","  1.000.000 ","  900.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17/05/2025","05.2025","44","3 PAGE TGIL","VTV - Liên hoàn cước - Trường Giang","9","2","3","4","2","1","1","  62.000.000 ","  1.000.000 ","  900.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07/05/2025","05.2025","44","3 PAGE TGIL","VTV - Liên hoàn cước - Trường Giang","2","","1","1","","","","","  1.000.000 ","  900.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01/03/2025","03.2025","41","3 PAGE TGIL","HTV9","2","0","1","1","0","0","0","","  1.000.000 ","  900.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01/03/2025","03.2025","43","3 PAGE TGIL","Bảng giá Implant","1","0","1","0","0","0","0","","  1.000.000 ","  900.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02/03/2025","03.2025","41","3 PAGE TGIL","HTV9","2","1","1","0","0","0","0","","  1.000.000 ","  900.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02/03/2025","03.2025","44","3 PAGE TGIL","VTV - Liên hoàn cước - Trường Giang","7","5","1","1","0","0","0","","  1.000.000 ","  900.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
